step,software,version,needed
read trimming,Trim Galore!,0.6.7,yes
read trimming,cutadapt,3.4,yes
read QC,FastQC,0.11.9,yes
alignment,BWA,0.7.17-r1188,yes
alignment,samtools,1.16.1,yes
filtering,Picard MarkDuplicates,3.0.0,yes
filtering,BamTools,2.5.2,yes
filtering,samtools,1.15.1,yes
filtering,BEDTools,2.30.0,yes
signal generation,BEDTools,2.30.0,yes
signal generation,UCSC bedGraphToBigWig,445,yes
alignment post-processing,samtools,1.17,yes
peak calling,MACS2,2.2.7.1,not submitted
peak annotation,HOMER,4.11,not submitted
quantification,subread featureCounts,2.0.1,not submitted
differential analysis,DESeq2,1.28.0,not submitted
quality metrics,ataqv,1.3.1,not submitted
quality metrics,deepTools,3.5.1,not submitted
workflow,nf-core/atacseq,2.1.2,yes
workflow,Nextflow,23.10.0,yes
